DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,DATE,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-07,01-07-2013,74.78,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-08,01-08-2013,74.84,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-09,01-09-2013,75.15,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-10,01-10-2013,75.08,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-11,01-11-2013,75,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-12,01-12-2013,75.25,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-01,01-01-2014,74.55,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-02,01-02-2014,74.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-03,01-03-2014,75.36,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-04,01-04-2014,75.48,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-05,01-05-2014,75.4,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-06,01-06-2014,75.47,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-07,01-07-2014,75.06,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-08,01-08-2014,75.1,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-09,01-09-2014,75.37,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-10,01-10-2014,75.34,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-11,01-11-2014,75.19,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2014-12,01-12-2014,75.11,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-01,01-01-2015,74.11,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-02,01-02-2015,74.52,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-03,01-03-2015,75.28,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-04,01-04-2015,75.59,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-05,01-05-2015,75.8,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-06,01-06-2015,75.76,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-07,01-07-2015,75.37,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-08,01-08-2015,75.33,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-09,01-09-2015,75.45,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-10,01-10-2015,75.53,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-11,01-11-2015,75.24,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2015-12,01-12-2015,75.24,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2016-01,01-01-2016,74.3,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2016-02,01-02-2016,74.4,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2016-03,01-03-2016,75.19,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2016-04,01-04-2016,75.35,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2016-05,01-05-2016,75.63,,
